CHROM,POS,T_STAT,P,BETA,SE
1,1423638,-0.490279,0.624233,-0.553882,1.12973
1,1424037,-0.80786500000000006,0.419698,-1.37321,1.6998
1,1442063,-0.322644,0.74715,-0.377569,1.17023
1,1442454,0.0906673,0.927807,0.119259,1.31535
1,1487595,-0.346775,0.728962,-0.392904,1.13302
1,1525600,-0.275107,0.783391,-0.313342,1.13898
1,1534321,-2.05999,0.0401119,-2.1407,1.03918
1,1540722,2.30092,0.0219622,2.26594,0.984797
1,1543497,-4.04347,6.43459e-5,-5.44289,1.34609
1,1549574,-0.168065,0.866626,-0.240676,1.43204
1,1550477,0.744694,0.456939,0.773893,1.03921
1,1553952,-0.568351,0.570148,-0.580268,1.02097
1,1556007,0.147742,0.882629,0.155174,1.0503
1,1559604,-0.653956,0.513555,-0.707803,1.08234
1,1567561,0.53214,0.594955,0.560628,1.05354
1,1572221,0.825452,0.409657,0.889559,1.07766
1,1572885,0.0711848,0.94329,0.0760242,1.06798
1,1579126,-2.34125,0.0197596,-2.34571,1.00191
1,1595970,1.68759,0.0923492,1.79499,1.06364
1,1599247,-2.33826,0.0199161,-2.59411,1.10942
1,1615774,0.866499,0.386789,1.26433,1.45913
1,1617810,0.286352,0.774772,0.296495,1.03542
1,1623576,0.355026,0.722776,0.366303,1.03176
1,1645721,1.84935,0.0652205,1.99253,1.07743
1,1694731,-0.126637,0.899298,-0.129888,1.02568
1,1708083,-0.690598,0.490259,-0.881653,1.27665
1,1714364,1.9195,0.055705,2.02163,1.05321
1,1716346,-1.47872,0.140083,-1.51133,1.02205
1,1754311,-0.250747,0.802151,-0.289676,1.15525
1,1840518,-1.2675,0.20579,-1.2714,1.00308
1,1847668,1.55485,0.120854,2.11549,1.36058
1,1853863,0.14792,0.882488,0.155558,1.05164
1,1886625,1.20956,0.227233,1.28517,1.06251
1,1905384,-0.752861,0.452021,-0.782483,1.03935
1,1930715,-0.704095,0.481825,-0.767193,1.08961
1,2031662,0.902211,0.367543,0.93369,1.03489
1,2092780,-1.7623,0.0788603,-1.94255,1.10228
1,2104846,-1.74502,0.0818273,-1.97682,1.13283
1,2127922,-0.00387514,0.99691,-0.00406077,1.0479
1,2146597,-1.72681,0.0850521,-1.74227,1.00895
1,2198398,-0.741986,0.458575,-0.82674,1.11422
1,2207304,2.17186,0.0305129,2.19811,1.01209
1,2250109,-0.603624,0.546471,-0.638816,1.0583
1,2262736,0.10681,0.914999,0.111463,1.04356
1,2289521,-0.636648,0.524755,-0.63665,1
1,2299691,-0.701471,0.483459,-0.780329,1.11242
1,2311438,0.705523,0.480937,0.745651,1.05688
1,2313323,2.36814,0.0184011,2.56214,1.08192
1,2319187,-1.51084,0.131698,-1.50189,0.994073
1,2324171,0.439291,0.660712,0.509472,1.15976
1,2335581,0.203223,0.839075,0.207422,1.02066
1,2338549,0.662614,0.507998,0.809875,1.22224
1,2374314,3.4359,6.58967e-4,3.52453,1.02579
1,2378872,-0.61098,0.541595,-0.702013,1.149
1,2388850,0.733884,0.463493,0.939621,1.28034
1,2390279,-1.47296,0.141628,-1.64565,1.11724
1,2391264,2.3775,0.0179476,3.02109,1.2707
1,2405370,-0.97623,0.329601,-1.00895,1.03352
1,2406320,0.124338,0.901116,0.132251,1.06364
1,2417676,0.0326025,0.974009,0.0559651,1.71659
1,2418677,-0.115818,0.90786,-0.126585,1.09296
1,2432534,2.61591,0.0092705,2.7957,1.06873
1,2442655,0.373857,0.708729,0.391678,1.04767
1,2462010,0.525422,0.599611,0.692806,1.31857
1,2503546,1.05438,0.29241,1.17677,1.11608
1,2511518,1.36315,0.173679,1.69474,1.24325
1,2580108,-0.162529,0.87098,-0.175278,1.07844
1,2625871,-0.113069,0.910038,-0.123855,1.09539
1,2641395,-0.00215511,0.998282,-0.00227033,1.05346
1,2661526,-0.322523,0.747242,-0.348512,1.08058
1,2671412,3.04259,0.00251629,3.13689,1.031
1,2707210,0.544791,0.586232,0.585151,1.07408
1,2711173,0.165322,0.868783,0.182594,1.10448
1,2746337,-3.27794,0.00114665,-3.48018,1.0617
1,2753410,-0.458113,0.647146,-0.70199,1.53235
1,2768542,0.488371,0.625582,0.571302,1.16981
1,2818570,-2.28702,0.0227694,-2.32426,1.01628
1,2820576,0.533567,0.593968,0.53524,1.00314
1,2825718,0.307364,0.758743,0.454753,1.47953
1,2827098,-0.830649,0.406718,-0.858428,1.03344
1,2827160,0.330294,0.741369,0.333656,1.01018
1,2870814,-0.697915,0.485677,-0.784949,1.1247
1,2874460,0.879833,0.379532,0.913733,1.03853
1,2874656,-1.19033,0.234696,-1.30091,1.0929
1,2885287,-0.0470638,0.962488,-0.0502808,1.06835
1,2909716,0.174025,0.861943,0.27884,1.6023
1,2942383,1.54339,0.123608,1.65701,1.07362
1,2990397,0.385489,0.700101,0.536189,1.39093
1,2993502,-0.225153,0.821987,-0.229834,1.02079
1,3022909,0.375918,0.707197,0.480454,1.27808
1,3023549,-0.218981,0.826788,-0.221006,1.00925
1,3069530,0.242454,0.808565,0.250909,1.03487
1,3129358,-1.00221,0.316908,-1.0582,1.05587
1,3174283,-1.42059,0.156295,-2.16453,1.52369
1,3186094,-0.0392396,0.968721,-0.0410486,1.0461
1,3232431,0.0495446,0.960513,0.0526301,1.06228
1,3241153,-0.241465,0.809331,-0.267076,1.10607
1,3246796,1.93914,0.0532595,2.25845,1.16467
1,3248635,1.37563,0.169785,2.02933,1.4752
1,3264833,0.803597,0.422156,0.952003,1.18468
1,3270956,-1.67661,0.0944805,-1.74227,1.03916
1,3307349,-1.92865,0.0545539,-2.10793,1.09296
1,3324049,-1.33874,0.181493,-1.37319,1.02574
1,3324508,0.600077,0.548829,0.652367,1.08714
1,3329412,0.0956107,0.923883,0.100204,1.04804
1,3441367,1.04918,0.294794,1.07255,1.02228
1,3466830,0.481599,0.630381,0.506857,1.05245
1,3474701,1.35468,0.176363,1.45212,1.07193
1,3480565,-2.07178,0.0389918,-2.28816,1.10444
1,3506437,-0.904151,0.366515,-1.31981,1.45973
1,3515841,-1.72705,0.0850101,-2.60907,1.51071
1,3520776,0.73776,0.461137,0.765274,1.03729
1,3529103,-1.10549,0.269682,-1.15635,1.04601
1,3532197,-0.723834,0.469634,-0.82527,1.14014
1,3534221,-1.52048,0.129261,-2.43614,1.60222
1,3549054,3.35539,8.76249e-4,3.67455,1.09512
1,3560626,-0.740367,0.459556,-1.16296,1.57079
1,3562001,0.278296,0.780943,0.373516,1.34215
1,3563940,0.0426195,0.966028,0.0453377,1.06378
1,3571105,0.755515,0.45043,0.808334,1.06991
1,3580524,-0.55653300000000006,0.57819,-0.570229,1.02461
1,3591204,0.268237,0.788669,0.292898,1.09194
1,3595832,1.50088,0.134256,1.6833,1.12154
1,3595948,-0.11107,0.911622,-0.117612,1.0589
1,3607803,1.38622,0.166529,1.48509,1.07132
1,3610972,1.07748,0.281981,1.1334,1.05189
1,3638801,0.339754,0.734238,0.358377,1.05481
1,3643966,0.334247,0.738386,0.407598,1.21945
1,3658126,0.0106801,0.991485,0.0116395,1.08983
1,3670354,-2.53948,0.0115182,-2.70959,1.06698
1,3680199,-1.26398,0.20705,-1.32127,1.04533
1,3680927,-0.694633,0.48773,-0.736994,1.06098
1,3691525,-1.84396,0.0660039,-2.13924,1.16014
1,3693394,0.296629,0.76692,0.302435,1.01957
1,3705260,1.79614,0.0733036,1.99172,1.10889
1,3714008,-0.343057,0.731754,-0.349883,1.0199
1,3740680,0.234451,0.814767,0.240713,1.02671
1,3771860,-0.162906,0.870683,-0.167367,1.02738
1,3777690,0.137454,0.890748,0.174771,1.27148
1,3778548,1.83267,0.0676705,1.84159,1.00486
1,3789386,0.206328,0.836651,0.213767,1.03606
1,3810112,1.3922,0.164713,1.58593,1.13915
1,3817107,-0.35686,0.721404,-0.399389,1.11918
1,3856695,0.500756,0.616846,0.77607,1.5498
1,3877128,2.28516,0.0228797,2.74706,1.20213
1,3879436,-0.737907,0.461048,-1.16179,1.57444
1,3885878,-0.310522,0.756343,-0.501056,1.6136
1,3926928,-0.540961,0.588866,-0.564121,1.04281
1,3930572,-1.95742,0.0510644,-2.08299,1.06415
1,3932938,2.54827,0.011237,2.59423,1.01803
1,3974706,-1.52941,0.127033,-1.68749,1.10336
1,3988539,0.462197,0.644217,0.475322,1.0284
1,3991580,-0.0838601,0.933214,-0.142338,1.69733
1,3993989,0.215853,0.829224,0.260714,1.20783
1,4009106,-1.19215,0.233983,-1.21846,1.02207
1,4039526,0.514987,0.606876,0.700179,1.35961
1,4043350,0.103464,0.917652,0.118397,1.14433
1,4043747,0.564855,0.572522,0.690709,1.22281
1,4045808,-0.0671153,0.946527,-0.0685112,1.0208
1,4065141,-0.954909,0.340259,-1.06391,1.11415
1,4072343,0.0431209,0.965629,0.0470558,1.09125
1,4088370,0.923727,0.356242,0.976795,1.05745
1,4098404,1.02218,0.307376,1.05836,1.03539
1,4106793,1.77591,0.0765859,2.66298,1.49951
1,4113012,-0.97038,0.332503,-1.4373,1.48117
1,4123863,0.88668,0.375838,0.948863,1.07013
1,4140953,0.533695,0.593879,0.624841,1.17078
1,4154370,-0.461357,0.644819,-0.522705,1.13297
1,4165746,0.963184,0.336096,1.03763,1.07729
1,4180548,0.149265,0.881427,0.195171,1.30755
1,4186352,-1.70752,0.0885803,-2.03814,1.19362
1,4190604,1.36785,0.172204,1.4282300000000001,1.04414
1,4209583,-1.42795,0.154165,-1.83929,1.28806
1,4217846,-0.376957,0.706426,-0.387386,1.02767
1,4259467,2.92012,0.00371743,3.09292,1.05917
1,4274652,-0.0740502,0.941011,-0.0803717,1.08537
1,4309601,0.20026,0.841389,0.237057,1.18375
1,4334069,0.562818,0.573906,0.86381,1.53479
1,4334165,1.59401,0.111803,1.62447,1.0191
1,4349373,2.67926,0.00771435,3.07293,1.14693
1,4370798,-1.01544,0.310572,-1.14315,1.12577
1,4381769,-1.06121,0.289299,-1.08969,1.02683
1,4386476,-1.0664,0.28695,-1.62087,1.51994
1,4428306,0.953383,0.34103,0.994777,1.04342
1,4445573,1.31246,0.190193,1.3925,1.06098
1,4471029,2.04332,0.041742,2.36076,1.15535
1,4473140,2.05058,0.0410256,2.25939,1.10183
1,4492560,0.521584,0.602278,0.630954,1.20969
1,4505652,0.996599,0.319623,1.34067,1.34525
1,4505808,0.508144,0.611661,0.625782,1.23151
1,4507282,1.35191,0.177247,1.9998,1.47924
1,4508213,-0.211724,0.832441,-0.249494,1.17839
1,4509522,-0.577564,0.563916,-0.650033,1.12547
1,4529181,0.478584,0.632522,0.569388,1.18973
1,4580592,-0.219526,0.826364,-0.235119,1.07103
1,4581069,0.637175,0.524412,0.654353,1.02696
1,4583370,-0.37492,0.707939,-0.65799,1.75501
1,4585906,-1.95929,0.0508444,-2.31724,1.1827
1,4586944,1.30693,0.192063,1.40955,1.07852
1,4595087,-0.557928,0.577237,-0.590408,1.05821
1,4610687,-1.68747,0.0923725,-1.77046,1.04918
1,4620251,-0.850798,0.395442,-0.899204,1.05689
1,4647989,0.320088,0.749086,0.335907,1.04942
1,4653087,2.05232,0.0408551,2.67754,1.30464
1,4655814,2.03238,0.0428429,2.09386,1.03025
1,4658480,-2.30237,0.0218797,-3.39775,1.47577
1,4660345,-1.11793,0.264338,-1.22119,1.09237
1,4675465,-2.14198,0.0328604,-3.2395,1.51239
1,4680502,0.966837,0.334269,1.07038,1.10709
1,4689058,-1.61971,0.106163,-1.93513,1.19474
1,4689289,1.75631,0.0798789,1.88684,1.07432
1,4693838,1.05839,0.290579,1.59689,1.50878
1,4701112,-0.892508,0.372712,-1.4914,1.67102
1,4708347,1.94352,0.0527259,3.08107,1.58531
1,4726746,-2.02988,0.043098,-2.22274,1.09501
1,4741090,-0.50872,0.611258,-0.518267,1.01877
1,4747265,-2.06244,0.0398769,-2.16642,1.05042
1,4770598,0.036795,0.970669,0.0498254,1.35413
1,4780405,-1.67659,0.0944832,-2.33807,1.39453
1,4795440,1.28459,0.199756,1.28269,0.998519
1,4803343,-0.370015,0.711587,-0.404638,1.09357
1,4809804,-0.234218,0.814948,-0.243634,1.0402
1,4818032,0.101719,0.919036,0.104881,1.03109
1,4866752,-1.45973,0.145228,-1.94609,1.33318
1,4871877,0.766664,0.44378,0.807964,1.05387
1,4893644,-1.44551,0.149178,-1.51392,1.04733
1,4897682,-0.454315,0.649874,-0.497722,1.09554
1,4902992,1.42403,0.155298,1.50643,1.05787
1,4916622,1.29745,0.195301,1.41277,1.08888
1,4943495,0.0496874,0.960399,0.079001,1.58996
1,4946225,-0.0424327,0.966177,-0.0556516,1.31152
1,4959125,1.10776,0.268699,1.21216,1.09425
1,4963484,0.272016,0.785764,0.384965,1.41523
1,4968353,0.943637,0.345983,0.964932,1.02257
1,4975049,0.00975727,0.99222,0.0107939,1.10625
1,5000882,0.728353,0.466867,0.773527,1.06202
1,5007117,-1.79231,0.0739153,-1.85262,1.03365
1,5015597,-0.721563,0.471028,-0.798303,1.10635
1,5044894,-0.151196,0.879905,-0.158704,1.04966
1,5044923,1.13173,0.258495,1.10994,0.980748
1,5056845,-0.536834,0.591711,-0.565804,1.05396
1,5072227,-0.569208,0.569567,-0.70777,1.24343
1,5077896,-0.899023,0.369236,-0.956778,1.06424
1,5084371,2.58692,0.010072,2.82421,1.09173
1,5129372,-0.511741,0.609143,-0.527945,1.03166
1,5150076,-0.675894,0.499538,-0.704292,1.04202
1,5165052,0.976546,0.329444,1.00159,1.02565
1,5165883,0.314287,0.753483,0.455849,1.45042
1,5183292,2.12012,0.0346738,3.3408,1.57576
1,5186887,0.459291,0.6463,0.471253,1.02604
1,5198853,-0.425557,0.670683,-0.435963,1.02445
1,5237606,1.25229,0.211272,1.50083,1.19848
1,5296537,0.537052,0.591561,0.639518,1.19079
1,5325555,0.646127,0.518605,0.879957,1.36189
1,5351338,-0.715448,0.474792,-0.839016,1.17271
1,5352673,-1.26243,0.207603,-1.40358,1.11181
1,5353194,0.640201,0.522446,0.848059,1.32468
1,5360032,-2.76335,0.00601259,-3.00375,1.08699
1,5369520,0.396916,0.691662,0.457861,1.15354
1,5374672,-1.46422,0.144,-1.52774,1.04338
1,5390705,-0.0172936,0.986212,-0.0196673,1.13726
1,5396158,-2.60493,0.00956712,-2.70046,1.03668
1,5401801,-0.927671,0.354195,-0.989751,1.06692
1,5405551,0.272481,0.785407,0.283837,1.04168
1,5410416,0.338828,0.734935,0.347752,1.02634
1,5422426,-3.07805,0.00224204,-4.53998,1.47495
1,5423181,4.24176,2.81809e-5,6.24781,1.47293
1,5426763,0.178371,0.858531,0.208636,1.16967
1,5436889,-0.786518,0.432077,-0.806534,1.02545
1,5452273,1.84408,0.065986,2.02182,1.09639
1,5506342,-0.300661,0.763845,-0.411242,1.36779
1,5512721,-0.147001,0.883212,-0.201817,1.37289
1,5513760,-1.184,0.237189,-1.24224,1.04919
1,5539602,0.56543,0.572131,0.920936,1.62874
1,5547681,0.841102,0.400845,0.852856,1.01397
1,5601169,-0.661191,0.508909,-0.672452,1.01703
1,5611602,0.471525,0.637549,0.702538,1.48993
1,5638175,0.977059,0.32919,1.42052,1.45387
1,5646799,-0.70511,0.481194,-0.697352,0.988998
1,5676084,0.248572,0.803833,0.266696,1.07291
1,5764143,0.974461,0.330477,1.07945,1.10774
1,5765026,1.15207,0.250051,1.28059,1.11156
1,5767349,0.906814,0.365107,1.02666,1.13216
1,5794585,-1.28071,0.201113,-1.43103,1.11737
1,5807789,0.0267666,0.978661,0.0416847,1.55734
1,5808331,0.989474,0.32309,1.01529,1.02609
1,5813764,-0.33909,0.734738,-0.382271,1.12734
1,5813972,-0.861332,0.389624,-1.29937,1.50856
1,5821963,-0.672539,0.501668,-1.0597,1.57568
1,5831017,-2.95705,0.00330917,-3.49265,1.18112
1,5833989,-1.43586,0.151905,-1.62062,1.12868
1,5836957,1.37465,0.170089,1.79641,1.30682
1,5863141,-0.879359,0.379788,-1.22417,1.39212
1,5864086,-1.7374,0.0831642,-1.76542,1.01613
1,5894499,-0.349778,0.726708,-0.35722,1.02128
1,5923048,-0.0182722,0.985432,-0.0189371,1.03639
1,5933747,0.462147,0.644253,0.501858,1.08593
1,5959647,-0.512117,0.60888,-0.553175,1.08017
1,5982927,-0.00683515,0.99455,-0.00748623,1.09525
1,6013121,-0.313174,0.754328,-0.334173,1.06705
1,6028703,-0.696031,0.486855,-0.745754,1.07144
1,6042808,-0.649849,0.516201,-0.690351,1.06232
1,6083872,-0.13021,0.896473,-0.173472,1.33225
1,6092637,1.20867,0.227577,1.22418,1.01283
1,6102910,1.52207,0.128863,1.52194,0.999913
1,6138438,1.36337,0.173612,2.06677,1.51593
1,6140141,-0.997444,0.319214,-1.5219,1.5258
1,6140513,0.529025,0.597111,0.570717,1.07881
1,6159848,-1.12132,0.262892,-1.1569,1.03173
1,6160215,-0.455267,0.649189,-0.485146,1.06563
1,6161912,-1.52134,0.129046,-1.56909,1.03139
1,6173682,-0.385235,0.700289,-0.41027,1.06499
1,6266695,0.259333,0.795525,0.262701,1.01299
1,6267276,-1.31198,0.190356,-1.37664,1.04928
1,6267729,1.27939,0.201579,1.2661,0.989613
1,6293495,0.371449,0.71052,0.558768,1.50429
1,6298773,-0.602707,0.54708,-0.894797,1.48463
1,6333987,-0.226475,0.82096,-0.367598,1.62313
1,6334275,-0.331141,0.740729,-0.420473,1.26977
1,6338373,-1.92626,0.0548519,-2.09209,1.08609
1,6436227,-2.34525,0.019552,-2.53811,1.08223
1,6462865,-0.323677,0.746369,-0.363659,1.12352
1,6469805,-0.718897,0.472667,-0.779575,1.0844
1,6510106,0.179892,0.857338,0.261234,1.45218
1,6514448,0.0876585,0.930196,0.0885566,1.01025
1,6527345,2.1907,0.0291092,3.49976,1.59756
1,6540334,1.1324,0.258215,1.34946,1.19168
1,6583809,-2.48071,0.0135646,-2.68241,1.08131
1,6587751,-0.242151,0.8088,-0.341307,1.40948
1,6631544,0.350933,0.725842,0.480083,1.36802
1,6636033,0.132265,0.894848,0.149698,1.13181
1,6655059,0.580868,0.56169,0.584195,1.00573
1,6662082,0.294787,0.768325,0.291235,0.987951
1,6675366,1.56292,0.118944,1.66396,1.06465
1,6686935,-1.14357,0.253554,-1.43342,1.25346
1,6723109,0.0774651,0.938296,0.0853129,1.10131
1,6763437,2.33592,0.0200394,3.47713,1.48855
1,6768462,0.152324,0.879016,0.190172,1.24847
1,6803748,-0.817573,0.414137,-0.865166,1.05821
1,6847489,-0.775205,0.438723,-0.825973,1.06549
1,6861862,1.53011,0.12686,2.52326,1.64907
1,6862320,-0.245658,0.806086,-0.369105,1.50251
1,6871474,2.25493,0.0247331,2.33647,1.03616
1,6877473,-2.26103,0.0243488,-2.47052,1.09265
1,6939921,-0.220865,0.825322,-0.30416,1.37713
1,6940497,0.104438,0.91688,0.109598,1.04941
1,6999288,0.848546,0.396693,1.11069,1.30893
1,7005919,1.41377,0.158287,1.6695,1.18088
1,7016356,-1.81191,0.0708269,-2.00333,1.10565
1,7022867,-0.340808,0.733445,-0.36562,1.0728
1,7028864,0.771049,0.441179,0.849379,1.10159
1,7040181,1.68351,0.0931369,2.38782,1.41836
1,7040776,-1.33787,0.181776,-1.51353,1.13129
1,7050608,-0.960465,0.337461,-1.49728,1.55891
1,7057419,0.373516,0.708982,0.39184,1.04906
1,7067007,1.71404,0.0873757,1.72382,1.00571
1,7074816,-0.402598,0.687481,-0.408418,1.01446
1,7074915,1.22472,0.221474,1.41917,1.15877
1,7077086,0.301778,0.762994,0.451696,1.49678
1,7083175,-0.0231111,0.981574,-0.0382498,1.65504
1,7083753,0.225343,0.821839,0.227353,1.00892
1,7087759,0.271112,0.786459,0.277451,1.02338
1,7097108,1.80042,0.0726242,2.83475,1.57449
1,7097932,1.22216,0.222439,1.55299,1.27069
1,7098899,-0.114073,0.909243,-0.116799,1.0239
1,7109048,0.933453,0.351207,1.33283,1.42785
1,7135136,-0.912346,0.362192,-0.934427,1.0242
1,7150814,0.30967,0.756989,0.321228,1.03732
1,7168643,-1.43635,0.151764,-1.50456,1.04749
1,7169983,-1.62414,0.105213,-1.79441,1.10484
1,7171444,0.920582,0.35788,1.14284,1.24143
1,7172740,-0.0601663,0.952056,-0.0607763,1.01014
1,7173130,-1.48555,0.138267,-2.08622,1.40434
1,7174946,0.868464,0.385714,0.914638,1.05317
1,7200143,-0.193716,0.846507,-0.20571,1.06192
1,7205419,-2.11735,0.0349093,-2.15413,1.01737
1,7206967,1.12647,0.260709,1.13843,1.01061
1,7230089,-0.780959,0.435336,-0.802231,1.02724
1,7230788,-1.22676,0.220706,-1.26876,1.03423
1,7237987,2.21342,0.0274902,2.28247,1.0312
1,7250373,-0.863832,0.388251,-0.964802,1.11689
1,7253748,-3.56703,4.09436e-4,-3.69257,1.03519
1,7255437,0.435608,0.66338,0.721158,1.65552
1,7256862,1.27082,0.204606,1.38891,1.09293
1,7267132,0.927983,0.354033,1.44337,1.55538
1,7276187,2.13064,0.0337904,2.26197,1.06164
1,7280941,1.05536,0.291963,1.08682,1.02981
1,7295326,-0.512867,0.608356,-0.540131,1.05316
1,7298130,0.126433,0.899459,0.128189,1.01389
1,7315732,0.776076,0.438209,0.812402,1.04681
1,7333818,1.14049,0.254835,1.22017,1.06987
1,7338381,0.206687,0.83637,0.220675,1.06768
1,7344561,0.510307,0.610146,0.522299,1.0235
1,7349922,1.05162,0.293672,1.07664,1.02379
1,7365934,0.308408,0.757949,0.486497,1.57745
1,7370101,-0.948158,0.34368,-1.55782,1.64299
1,7374553,-0.453985,0.650111,-0.487541,1.07391
1,7388845,0.419626,0.675007,0.417755,0.995543
1,7396659,2.16506,0.0310343,2.20109,1.01664
1,7402915,-0.143808,0.885732,-0.16422,1.14194
1,7403470,-1.63888,0.102105,-2.00994,1.22641
1,7444871,-0.0642705,0.94879,-0.067828,1.05535
1,7452661,0.269593,0.787627,0.407987,1.51334
1,7466201,-0.54343,0.587167,-0.643154,1.18351
1,7467769,0.0971238,0.922682,0.102406,1.05438
1,7472152,0.957455,0.338975,1.35383,1.41399
1,7480006,-1.06048,0.289633,-1.07743,1.01598
1,7490393,-0.35339,0.724001,-0.385246,1.09014
1,7523274,1.65721,0.098341,1.63982,0.989505
1,7529477,0.73164,0.46486,0.784946,1.07286
1,7542143,-1.28031,0.201254,-1.30555,1.01971
1,7543894,-2.13198,0.0336794,-2.1942,1.02919
1,7548671,-0.944598,0.345493,-1.02212,1.08207
1,7570476,-2.01729,0.044401,-2.09369,1.03787
1,7609469,2.85522,0.00454784,3.25747,1.14088
1,7618530,1.1729,0.241607,1.18217,1.00791
1,7629433,1.15174,0.250185,1.18803,1.0315
1,7638330,0.0741316,0.940946,0.0860456,1.16071
1,7665894,0.12033,0.904289,0.123024,1.02239
1,7672989,-0.439841,0.660314,-0.677304,1.53988
1,7677394,-0.143807,0.885733,-0.141739,0.985621
1,7694487,-0.176507,0.859994,-0.280607,1.58978
1,7695737,-2.0286,0.043229,-2.12159,1.04584
1,7703961,1.29036,0.197748,1.731,1.34149
1,7705531,0.355482,0.722435,0.393667,1.10742
1,7711900,2.30054,0.0219839,3.91526,1.70189
1,7713003,-1.18294,0.237607,-1.27078,1.07426
1,7729888,0.891954,0.373009,0.89556,1.00404
1,7753887,1.84994,0.0651346,2.84025,1.53532
1,7755584,-0.227653,0.820044,-0.290958,1.27808
1,7757701,-0.672363,0.50178,-0.693273,1.0311
1,7758572,-0.886663,0.375847,-0.91846,1.03586
1,7763368,-1.56299,0.118927,-1.70461,1.09061
1,7788193,-0.822076,0.411573,-0.885389,1.07702
1,7794184,-1.54594,0.12299,-1.59891,1.03427
1,7802729,-0.527279,0.598322,-0.538069,1.02046
1,7809999,1.30363,0.193185,1.33672,1.02538
1,7813730,0.224169,0.822752,0.262408,1.17058
1,7814158,-1.09913,0.272439,-1.18707,1.08001
1,7822720,-2.39328,0.0172057,-2.54254,1.06236
1,7825527,-0.312361,0.754946,-0.310133,0.992867
1,7828484,-0.468284,0.639863,-0.497321,1.06201
1,7838052,1.78336,0.0753635,1.95995,1.09902
1,7846077,2.55572,0.0110036,3.59847,1.40801
1,7856244,-1.8438,0.0660269,-1.88489,1.02229
1,7859342,-0.808058,0.419586,-1.12576,1.39316
1,7861476,0.820854,0.412268,0.849149,1.03447
1,7884311,-0.291842,0.770574,-0.294837,1.01026
1,7893504,1.20576,0.228694,1.21225,1.00538
1,7894681,-0.989985,0.322841,-1.57602,1.59196
1,7897918,-0.295497,0.767783,-0.321066,1.08653
1,7898065,0.0922073,0.926584,0.0993359,1.07731
1,7903121,0.726164,0.468206,0.797373,1.09806
1,7907249,1.64298,0.101254,2.61498,1.59161
1,7909509,1.38949,0.165537,1.44644,1.04099
1,7910406,1.85529,0.0643655,2.97029,1.60098
1,7911400,-0.830631,0.406728,-1.2311,1.48213
1,7917178,-0.892671,0.372625,-0.90194,1.01038
1,7920160,-0.390882,0.696113,-0.404772,1.03554
1,7924333,1.27586,0.202822,1.59003,1.24624
1,7925081,-0.102061,0.918765,-0.10629,1.04144
1,7943533,-0.691323,0.489805,-0.696452,1.00742
1,7944580,-2.23841,0.0257999,-2.76512,1.2353
1,7958641,-0.686122,0.493074,-1.11626,1.62692
1,7963842,-1.35915,0.174943,-1.43851,1.05839
1,7969513,0.668459,0.504265,0.671046,1.00387
1,7981724,0.0845609,0.932657,0.0863896,1.02163
1,8006884,-0.727299,0.467512,-0.728339,1.00143
1,8011480,-0.467853,0.640171,-0.466525,0.997162
1,8015603,0.0811342,0.93538,0.0805211,0.992444
